Id_date,IdMuestra,Rango fiabilidad
711,Beta-384699,3
712,Beta-384700,2
713,Beta-365839,2
714,Beta-365840,2
715,Beta-392182,7
716,n.d-73,4
717,Beta-343710,1
718,Beta-344851,1
719,Beta-344852,1
720,Beta-392181,4
721,n.d-1,4
722,Beta-272293,2
723,Beta-272294,2
724,Beta-272295,2
725,n.d-66,3
752,Beta-477366,1
753,Beta-443591,2
754,Beta-443590,2
755,n.d-3,6
756,n.d-4,6
757,n.d-5,6
758,n.d-6,6
759,n.d-7,6
760,n.d-8,6
761,n.d-9,6
762,n.d-10,6
763,n.d-11,6
764,n.d-12,6
765,n.d-14,6
766,n.d-15,6
767,n.d-16,6
768,n.d-17,6
769,n.d-18,6
770,n.d-19,6
771,n.d-20,6
772,n.d-21,6
773,n.d-22,6
774,n.d-23,6
775,n.d-25,6
776,n.d-26,6
777,n.d-27,6
778,n.d-28,6
779,n.d-29,6
780,n.d-30,6
781,n.d-31,6
782,n.d-32,6
783,n.d-33,6
784,n.d-34,6
785,n.d-36,6
786,n.d-37,6
787,n.d-38,6
788,n.d-39,6
789,n.d-40,6
790,n.d-41,6
791,n.d-42,6
792,n.d-43,6
793,n.d-44,6
794,n.d-45,6
795,n.d-47,6
796,n.d-48,6
797,n.d-49,6
798,n.d-50,6
799,n.d-51,6
800,n.d-52,6
801,n.d-53,6
802,n.d-54,6
803,n.d-55,6
804,n.d-56,6
805,n.d-58,6
806,n.d-59,6
807,n.d-60,6
808,n.d-61,6
809,n.d-62,6
810,n.d-63,6
811,n.d-64,6
812,n.d-65,6
726,D-AMS-027469,1
727,D-AMS015873,2
728,D-AMS015874,2
729,D-AMS015875,2
730,D-AMS015876,2
731,Beta-618599,2
732,Beta-618601,2
733,Beta-618602,2
734,Beta-618603,2
735,Beta-618604,2
736,Beta-618609,2
737,Beta-618598,2
738,GaK-8054,7 *
739,GaK-8053,7 *
742,Beta-382867,2
743,Beta-382868,2
744,Beta-382865,2
745,GrN-13753,7
746,GX-xxx,2
747,Beta-566018,7
748,Beta-566019,7
749,Beta-566020,7
750,Beta-566021,7
751,Beta-566022,7
